Id,target,1,2,3,4,5,6,7
171,4.2,3.9,4.1,2.3,3.25,7.67,7.3,5.7
173,3.7,3.5,3.3,,,,,
174,11.5,7.1,9.0,,,,,
176,5.6,4.1,3.4,3.5,6.4,6.77,3.4,3.3
178,3.15,3.05,2.4,,,,,
179,3.8,5.2,3.3,6.55,9.3,26.5,6.7,10.37
181,1.8,1.9,2.4,,,,,
183,5.7,5.3,3.9,,,,,
184,4.9,4.6,4.9,2.21,14.79,27.12,3.49,1.83
186,6.4,6.4,6.8,,,,,
187,4.7,3.6,1.9,,,,,
191,4.4,5.7,2.2,,,,,
194,10.7,10.4,8.0,4.1,5.0,9.25,2.4,4.45
196,5.12,4.4,5.4,7.6,,9.55,,
197,3.9,5.0,5.4,10.66,10.46,8.42,6.62,8.25
198,6.5,7.9,4.9,,,,,
199,5.7,3.7,5.2,,,,,
201,7.0,7.3,5.9,,,,,
202,3.75,2.52,1.72,4.72,6.07,5.72,2.95,7.37
203,4.25,4.25,4.8,,,,,
204,4.6,3.1,4.0,8.0,9.25,7.9,5.1,7.5
205,6.8,8.0,7.4,,,,,
207,7.9,8.3,7.6,,,,,
208,2.2,5.0,5.8,,,,,
211,5.6,8.0,8.0,,,,,
212,6.0,6.8,7.2,,,,,
213,8.0,5.2,7.8,,,,,
214,3.1,3.4,4.1,,,,,
